subject,stimulus,response,goodness,reactionTime
experimentMFC_1,s1_t1_r2,comp,6,7.780685700010508
experimentMFC_1,s10_t1_r2,comp,5,7.489689700014424
experimentMFC_1,s6_t1_r2,comp,5,5.532408399973065
experimentMFC_1,s8_t1_r2,comp,5,4.97883479995653
experimentMFC_1,s2_t1_r2,comp,6,0.8778147999546491
experimentMFC_1,s3_t1_r2,comp,3,5.009106200013775
experimentMFC_1,s4_t1_r2,comp,4,0.6420017000054941
experimentMFC_1,s7_t1_r2,comp,4,4.594158400024753
experimentMFC_1,s9_t1_r2,comp,5,4.086237800016534
experimentMFC_1,s5_t1_r2,comp,3,0.8705766000202857
experimentMFC_1,s7_t1_r2,comp,4,10.413062200008426
experimentMFC_1,s4_t1_r2,comp,4,3.7112970000016494
experimentMFC_1,s5_t1_r2,comp,3,0.2646697000018321
experimentMFC_1,s10_t1_r2,comp,4,0.3882368000340648
experimentMFC_1,s3_t1_r2,comp,3,0.1884110000100918
experimentMFC_1,s1_t1_r2,comp,6,0.4275880999630317
experimentMFC_1,s8_t1_r2,comp,5,0.2753871000022627
experimentMFC_1,s2_t1_r2,comp,6,0.4242856999626383
experimentMFC_1,s6_t1_r2,comp,4,6.871284499997273
experimentMFC_1,s9_t1_r2,comp,4,4.302110799995717
experimentMFC_1,s2_t1_r2,comp,6,0.1466311999829486
experimentMFC_1,s4_t1_r2,comp,4,3.0564825999899767
experimentMFC_1,s8_t1_r2,comp,5,0.3552553000045009
experimentMFC_1,s1_t1_r2,comp,6,0.2616012000362389
experimentMFC_1,s10_t1_r2,comp,4,0.2939084999961778
experimentMFC_1,s9_t1_r2,comp,4,4.0242009999929
experimentMFC_1,s6_t1_r2,comp,3,0.0278618999873287
experimentMFC_1,s3_t1_r2,comp,4,0.4103054000297561
experimentMFC_1,s5_t1_r2,comp,3,0.5098331999615766
experimentMFC_1,s7_t1_r2,comp,4,0.9153477000072598
