subject,stimulus,response,goodness,reactionTime
experimentMFC_1,s8_t1_r2,comp,7,1.542425399995409
experimentMFC_1,s7_t1_r2,comp,4,7.259471299999859
experimentMFC_1,s3_t1_r2,comp,3,10.22692939999979
experimentMFC_1,s9_t1_r2,comp,5,7.049406199948862
experimentMFC_1,s2_t1_r2,comp,5,7.76773249998223
experimentMFC_1,s6_t1_r2,comp,5,8.134995600034017
experimentMFC_1,s1_t1_r2,comp,5,16.542771000007633
experimentMFC_1,s10_t1_r2,comp,4,6.332385600020643
experimentMFC_1,s5_t1_r2,comp,4,11.379648500005716
experimentMFC_1,s4_t1_r2,comp,3,8.466781399969477
experimentMFC_1,s2_t1_r2,comp,6,8.669335999991745
experimentMFC_1,s7_t1_r2,comp,3,6.069727199967019
experimentMFC_1,s8_t1_r2,comp,7,5.456960099982098
experimentMFC_1,s6_t1_r2,comp,7,1.1548527000122704
experimentMFC_1,s3_t1_r2,comp,4,5.150281400012318
experimentMFC_1,s9_t1_r2,comp,5,6.331874199968297
experimentMFC_1,s10_t1_r2,comp,4,4.748370599991176
experimentMFC_1,s1_t1_r2,comp,6,6.454736399988178
experimentMFC_1,s4_t1_r2,comp,4,5.754431399982423
experimentMFC_1,s5_t1_r2,comp,4,10.058822999999393
experimentMFC_1,s4_t1_r2,comp,3,5.150344300025608
experimentMFC_1,s10_t1_r2,comp,3,5.475366999977268
experimentMFC_1,s1_t1_r2,comp,6,6.603607999975793
experimentMFC_1,s5_t1_r2,comp,3,10.066876999975648
experimentMFC_1,s6_t1_r2,comp,4,5.954518599959556
experimentMFC_1,s8_t1_r2,comp,6,4.704033299989533
experimentMFC_1,s9_t1_r2,comp,5,4.7660342999733984
experimentMFC_1,s7_t1_r2,comp,4,5.334799000003841
experimentMFC_1,s3_t1_r2,comp,4,4.625484100019094
experimentMFC_1,s2_t1_r2,comp,5,6.839859200001229
