subject,stimulus,response,goodness,reactionTime
experimentMFC_1,s4_t1_r2,comp,5,0.670080800075084
experimentMFC_1,s3_t1_r2,comp,4,0.729687999933958
experimentMFC_1,s7_t1_r2,comp,4,0.6182995000854135
experimentMFC_1,s2_t1_r2,comp,6,0.3140933000249788
experimentMFC_1,s8_t1_r2,comp,6,0.3610197999514639
experimentMFC_1,s9_t1_r2,comp,5,0.178989200037904
experimentMFC_1,s6_t1_r2,comp,2,0.0262038999935612
experimentMFC_1,s1_t1_r2,comp,3,0.0402272000210359
experimentMFC_1,s5_t1_r2,comp,2,0.4521095999516547
experimentMFC_1,s10_t1_r2,comp,4,0.0841094999341294
experimentMFC_1,s8_t1_r2,comp,7,0.4571951000252738
experimentMFC_1,s10_t1_r2,comp,4,0.3709122999571264
experimentMFC_1,s3_t1_r2,comp,3,0.3197994000511244
experimentMFC_1,s9_t1_r2,comp,6,0.2651823000051081
experimentMFC_1,s2_t1_r2,comp,6,0.2325970999663695
experimentMFC_1,s6_t1_r2,comp,2,0.0354830999858677
experimentMFC_1,s4_t1_r2,comp,2,-0.1246186000062152
experimentMFC_1,s1_t1_r2,comp,3,0.015414800029248
experimentMFC_1,s5_t1_r2,comp,2,0.234218499972485
experimentMFC_1,s7_t1_r2,comp,4,-0.0231976000359281
experimentMFC_1,s8_t1_r2,comp,6,0.192814499954693
experimentMFC_1,s7_t1_r2,comp,4,-0.2570956000126898
experimentMFC_1,s2_t1_r2,comp,7,0.1509127001045271
experimentMFC_1,s9_t1_r2,comp,6,0.1226964000379666
experimentMFC_1,s10_t1_r2,comp,4,-0.1503614999819547
experimentMFC_1,s4_t1_r2,comp,4,-0.0643974000122398
experimentMFC_1,s5_t1_r2,comp,3,-0.1851142999948933
experimentMFC_1,s1_t1_r2,comp,3,-0.2487467000028118
experimentMFC_1,s6_t1_r2,comp,2,-0.071108300006017
experimentMFC_1,s3_t1_r2,comp,2,0.0795950000174343
