subject,stimulus,response,goodness,reactionTime
experimentMFC_2,s5_t1_r2,fl,1,8.238725299946964
experimentMFC_2,s7_t1_r2,fl,4,4.191406200174242
experimentMFC_2,s3_t1_r2,fl,2,3.302933400031179
experimentMFC_2,s8_t1_r2,fl,2,3.66954469983466
experimentMFC_2,s6_t1_r2,fl,1,4.62548950011842
experimentMFC_2,s1_t1_r2,fl,4,3.9929136999417096
experimentMFC_2,s2_t1_r2,fl,5,4.312405100092292
experimentMFC_2,s9_t1_r2,fl,2,3.6772034000605354
experimentMFC_2,s10_t1_r2,fl,2,3.646584999980405
experimentMFC_2,s4_t1_r2,fl,1,3.999854299938306
experimentMFC_2,s9_t1_r2,fl,3,4.936015599872917
experimentMFC_2,s7_t1_r2,fl,5,3.962595400167629
experimentMFC_2,s1_t1_r2,fl,5,3.9534271999727935
experimentMFC_2,s8_t1_r2,fl,2,3.1294129001908004
experimentMFC_2,s10_t1_r2,fl,2,3.203440299956128
experimentMFC_2,s6_t1_r2,fl,1,4.36366040003486
experimentMFC_2,s2_t1_r2,fl,5,3.975838500075042
experimentMFC_2,s5_t1_r2,fl,1,8.06924350000918
experimentMFC_2,s4_t1_r2,fl,2,3.862072299933061
experimentMFC_2,s3_t1_r2,fl,1,3.518088100012392
experimentMFC_2,s9_t1_r2,fl,2,3.63210460008122
experimentMFC_2,s10_t1_r2,fl,2,3.647499200189486
experimentMFC_2,s4_t1_r2,fl,2,3.422901100013405
experimentMFC_2,s5_t1_r2,fl,1,5.409965300001204
experimentMFC_2,s8_t1_r2,fl,3,3.5667357000056654
experimentMFC_2,s1_t1_r2,fl,4,3.4378971001133323
experimentMFC_2,s3_t1_r2,fl,1,2.835646799998358
experimentMFC_2,s6_t1_r2,fl,1,2.2350463999900967
experimentMFC_2,s2_t1_r2,fl,5,2.542740299832076
experimentMFC_2,s7_t1_r2,fl,4,2.482259999960661
