subject,stimulus,response,goodness,reactionTime
experimentMFC_3,s8_t1_r2,ac,7,0.0728009000013116
experimentMFC_3,s9_t1_r2,ac,7,-0.3416240000005928
experimentMFC_3,s1_t1_r2,ac,7,-0.4330551000020932
experimentMFC_3,s5_t1_r2,ac,6,-0.4113242999992508
experimentMFC_3,s2_t1_r2,ac,7,-0.1286585000016202
experimentMFC_3,s10_t1_r2,ac,6,-0.4398782999996911
experimentMFC_3,s7_t1_r2,ac,5,-0.3748577000005753
experimentMFC_3,s6_t1_r2,ac,5,-0.3298971000003803
experimentMFC_3,s3_t1_r2,ac,7,-0.4363784000015585
experimentMFC_3,s4_t1_r2,ac,7,-0.2220791000036115
experimentMFC_3,s9_t1_r2,ac,7,-0.0394395000002987
experimentMFC_3,s3_t1_r2,ac,7,-0.4105044999996607
experimentMFC_3,s8_t1_r2,ac,7,-0.3851794999973208
experimentMFC_3,s5_t1_r2,ac,6,0.0396099999998114
experimentMFC_3,s2_t1_r2,ac,7,-0.0781859999988228
experimentMFC_3,s7_t1_r2,ac,5,-0.3600593000010121
experimentMFC_3,s10_t1_r2,ac,7,-0.3143893000014941
experimentMFC_3,s1_t1_r2,ac,6,-0.2989999999990687
experimentMFC_3,s6_t1_r2,ac,5,-0.3768024999990302
experimentMFC_3,s4_t1_r2,ac,7,-0.5013260999985505
experimentMFC_3,s5_t1_r2,ac,6,-0.4123832000004768
experimentMFC_3,s9_t1_r2,ac,6,-0.3936106000001018
experimentMFC_3,s4_t1_r2,ac,6,-0.4050237000010384
experimentMFC_3,s10_t1_r2,ac,6,-0.4560119000016129
experimentMFC_3,s6_t1_r2,ac,5,-0.3628050000006624
experimentMFC_3,s2_t1_r2,ac,6,-0.456526699999813
experimentMFC_3,s7_t1_r2,ac,5,-0.4371633000009751
experimentMFC_3,s8_t1_r2,ac,6,-0.4709594000014476
experimentMFC_3,s3_t1_r2,ac,7,-0.0770955000007234
experimentMFC_3,s1_t1_r2,ac,4,-0.3971280000005208
