subject,stimulus,response,goodness,reactionTime
experimentMFC_4,s7_t1_r2,in,3,15.505981700029224
experimentMFC_4,s3_t1_r2,in,2,7.707673600001726
experimentMFC_4,s2_t1_r2,in,5,3.3336632999707945
experimentMFC_4,s9_t1_r2,in,4,1.617482399975415
experimentMFC_4,s4_t1_r2,in,4,1.0083601000369526
experimentMFC_4,s10_t1_r2,in,5,1.490852700022515
experimentMFC_4,s8_t1_r2,in,5,1.5198414999758825
experimentMFC_4,s5_t1_r2,in,1,0.4918126999982632
experimentMFC_4,s1_t1_r2,in,4,-0.038270300021395
experimentMFC_4,s6_t1_r2,in,4,-0.0164010999724268
experimentMFC_4,s5_t1_r2,in,1,0.2049343999824486
experimentMFC_4,s10_t1_r2,in,3,0.1542140000383369
experimentMFC_4,s6_t1_r2,in,4,0.4758528999518603
experimentMFC_4,s7_t1_r2,in,3,-0.1180134000023827
experimentMFC_4,s9_t1_r2,in,4,0.1519594999845139
experimentMFC_4,s1_t1_r2,in,5,0.0246601999970152
experimentMFC_4,s4_t1_r2,in,4,0.5975015999865718
experimentMFC_4,s2_t1_r2,in,5,0.3702755999984219
experimentMFC_4,s8_t1_r2,in,5,0.1090671999845653
experimentMFC_4,s3_t1_r2,in,3,0.5756680999766104
experimentMFC_4,s6_t1_r2,in,3,-0.011247300019022
experimentMFC_4,s2_t1_r2,in,5,0.1483316000085324
experimentMFC_4,s3_t1_r2,in,4,4.976517899951432
experimentMFC_4,s5_t1_r2,in,1,2.503843499987852
experimentMFC_4,s4_t1_r2,in,3,0.4387003000010736
experimentMFC_4,s10_t1_r2,in,4,1.1038119999575429
experimentMFC_4,s1_t1_r2,in,5,0.901164199982304
experimentMFC_4,s9_t1_r2,in,4,14.43222830002196
experimentMFC_4,s8_t1_r2,in,4,4.246642199985217
experimentMFC_4,s7_t1_r2,in,3,0.5499815999646671
