subject,stimulus,response,goodness,reactionTime
experimentMFC_2,s2_t2_r2,fl,7,5.517825700000685
experimentMFC_2,s9_t2_r2,fl,5,4.27592989999539
experimentMFC_2,s1_t2_r2,fl,5,6.025538099995174
experimentMFC_2,s7_t2_r2,fl,4,4.905492799996864
experimentMFC_2,s10_t2_r2,fl,3,4.485605800000485
experimentMFC_2,s4_t2_r2,fl,2,2.590784400003031
experimentMFC_2,s8_t2_r2,fl,5,4.4770556000003126
experimentMFC_2,s3_t2_r2,fl,3,3.634802900000068
experimentMFC_2,s6_t2_r2,fl,3,3.4642901999977767
experimentMFC_2,s5_t2_r2,fl,2,4.595666299996083
experimentMFC_2,s7_t2_r2,fl,4,3.4610199999951874
experimentMFC_2,s10_t2_r2,fl,3,2.2104846000002
experimentMFC_2,s5_t2_r2,fl,2,2.2951317000042764
experimentMFC_2,s4_t2_r2,fl,2,2.1844677999979467
experimentMFC_2,s8_t2_r2,fl,4,3.375619899998128
experimentMFC_2,s9_t2_r2,fl,5,4.400303199996415
experimentMFC_2,s1_t2_r2,fl,5,2.6418774999983725
experimentMFC_2,s6_t2_r2,fl,3,2.444590300001437
experimentMFC_2,s3_t2_r2,fl,3,2.610936099998071
experimentMFC_2,s2_t2_r2,fl,7,2.761092200002168
experimentMFC_2,s5_t2_r2,fl,2,2.0982506000000285
experimentMFC_2,s7_t2_r2,fl,3,2.371444500000507
experimentMFC_2,s6_t2_r2,fl,3,2.1637152999974205
experimentMFC_2,s10_t2_r2,fl,3,2.169295499996224
experimentMFC_2,s2_t2_r2,fl,7,2.7931345000033616
experimentMFC_2,s8_t2_r2,fl,4,3.1614268999983324
experimentMFC_2,s4_t2_r2,fl,2,2.497556000002078
experimentMFC_2,s3_t2_r2,fl,3,2.1726654000012786
experimentMFC_2,s9_t2_r2,fl,4,2.0564957999959006
experimentMFC_2,s1_t2_r2,fl,6,2.5721125999989454
