subject,stimulus,response,goodness,reactionTime
experimentMFC_3,s3_t2_r2,ac,2,2.066084499936551
experimentMFC_3,s8_t2_r2,ac,5,1.2504157919902354
experimentMFC_3,s4_t2_r2,ac,4,-0.0132402920862659
experimentMFC_3,s10_t2_r2,ac,2,0.0763877080753445
experimentMFC_3,s2_t2_r2,ac,6,0.1330830830847844
experimentMFC_3,s6_t2_r2,ac,1,2.081978374975733
experimentMFC_3,s1_t2_r2,ac,3,0.0498195000691339
experimentMFC_3,s9_t2_r2,ac,4,0.0628232499584555
experimentMFC_3,s5_t2_r2,ac,2,0.0585887499619275
experimentMFC_3,s7_t2_r2,ac,1,0.0831475000595673
experimentMFC_3,s6_t2_r2,ac,3,0.0003163749352097
experimentMFC_3,s1_t2_r2,ac,4,-0.0903255420271307
experimentMFC_3,s10_t2_r2,ac,2,-0.1373643749393522
experimentMFC_3,s4_t2_r2,ac,4,-0.0031732079805806
experimentMFC_3,s3_t2_r2,ac,1,0.3050184169551357
experimentMFC_3,s8_t2_r2,ac,5,0.0566550409421324
experimentMFC_3,s7_t2_r2,ac,1,-0.0660140420077368
experimentMFC_3,s5_t2_r2,ac,1,0.2787081659771502
experimentMFC_3,s9_t2_r2,ac,5,0.4590993750607595
experimentMFC_3,s2_t2_r2,ac,6,0.2008421659702435
experimentMFC_3,s7_t2_r2,ac,1,0.4561802500393241
experimentMFC_3,s9_t2_r2,ac,3,0.4963217079639435
experimentMFC_3,s3_t2_r2,ac,2,-0.0838974580401554
experimentMFC_3,s8_t2_r2,ac,4,-0.0391041249968111
experimentMFC_3,s1_t2_r2,ac,3,-0.2004455830901861
experimentMFC_3,s10_t2_r2,ac,4,-0.1512145829619839
experimentMFC_3,s6_t2_r2,ac,3,0.0189931670902296
experimentMFC_3,s2_t2_r2,ac,6,-0.1248767080251127
experimentMFC_3,s5_t2_r2,ac,2,-0.094390874961391
experimentMFC_3,s4_t2_r2,ac,4,0.0168410839978605
