subject,stimulus,response,goodness,reactionTime
experimentMFC_4,s4_t2_r2,in,5,9.3226377999963
experimentMFC_4,s5_t2_r2,in,3,4.697702400000708
experimentMFC_4,s3_t2_r2,in,4,2.487924100001692
experimentMFC_4,s7_t2_r2,in,6,1.8889825000005656
experimentMFC_4,s2_t2_r2,in,7,2.4083738999979687
experimentMFC_4,s9_t2_r2,in,5,2.187966199999209
experimentMFC_4,s10_t2_r2,in,5,2.3383777999988524
experimentMFC_4,s8_t2_r2,in,5,2.731067400003667
experimentMFC_4,s1_t2_r2,in,3,2.9241005000003497
experimentMFC_4,s6_t2_r2,in,3,1.9147007999999917
experimentMFC_4,s1_t2_r2,in,3,1.963601399998879
experimentMFC_4,s4_t2_r2,in,4,2.5825669999976526
experimentMFC_4,s5_t2_r2,in,3,2.3233886000016355
experimentMFC_4,s8_t2_r2,in,5,1.4333893000002718
experimentMFC_4,s7_t2_r2,in,5,0.9651809999995749
experimentMFC_4,s10_t2_r2,in,5,1.4627650999973412
experimentMFC_4,s9_t2_r2,in,5,1.2503164000008835
experimentMFC_4,s6_t2_r2,in,3,3.032320399994205
experimentMFC_4,s3_t2_r2,in,4,1.786795299994992
experimentMFC_4,s2_t2_r2,in,7,1.8537856000039028
experimentMFC_4,s1_t2_r2,in,3,1.453645499997947
experimentMFC_4,s4_t2_r2,in,4,3.2921879999994417
experimentMFC_4,s8_t2_r2,in,5,2.1724009000026854
experimentMFC_4,s3_t2_r2,in,4,2.4692651000004844
experimentMFC_4,s5_t2_r2,in,3,1.2885612000027322
experimentMFC_4,s9_t2_r2,in,5,0.8488418000051752
experimentMFC_4,s10_t2_r2,in,4,1.2025642000007792
experimentMFC_4,s7_t2_r2,in,5,1.1077779999977793
experimentMFC_4,s6_t2_r2,in,3,1.1889461999962805
experimentMFC_4,s2_t2_r2,in,7,1.274486900001648
