subject,stimulus,response,goodness,reactionTime
experimentMFC_4,s6_t2_r2,in,3,0.2908140998333692
experimentMFC_4,s8_t2_r2,in,2,-0.3928957001771778
experimentMFC_4,s2_t2_r2,in,5,0.0066092999186366
experimentMFC_4,s7_t2_r2,in,1,-0.2848022000398487
experimentMFC_4,s5_t2_r2,in,2,-0.1789439001586288
experimentMFC_4,s9_t2_r2,in,3,-0.2332973999436944
experimentMFC_4,s1_t2_r2,in,2,-0.1743829001206904
experimentMFC_4,s3_t2_r2,in,2,0.054416200146079
experimentMFC_4,s4_t2_r2,in,3,-0.377159500028938
experimentMFC_4,s10_t2_r2,in,2,-0.3594646998681128
experimentMFC_4,s1_t2_r2,in,2,-0.1426873998716473
experimentMFC_4,s8_t2_r2,in,3,-0.2691971000749618
experimentMFC_4,s6_t2_r2,in,3,-0.0930640997830778
experimentMFC_4,s5_t2_r2,in,2,-0.283434399869293
experimentMFC_4,s3_t2_r2,in,2,-0.1411494000349193
experimentMFC_4,s9_t2_r2,in,4,-0.0013276999816298
experimentMFC_4,s10_t2_r2,in,4,0.1170260000508278
experimentMFC_4,s4_t2_r2,in,4,-0.2187665000092238
experimentMFC_4,s2_t2_r2,in,5,-0.3160935000050813
experimentMFC_4,s7_t2_r2,in,3,-0.0671478000003844
experimentMFC_4,s1_t2_r2,in,2,-0.2521162999328226
experimentMFC_4,s4_t2_r2,in,4,-0.1753444001078605
experimentMFC_4,s2_t2_r2,in,5,-0.2631977000273764
experimentMFC_4,s8_t2_r2,in,4,-0.2740887000691145
experimentMFC_4,s6_t2_r2,in,4,-0.192063899943605
experimentMFC_4,s3_t2_r2,in,2,-0.2991191998589784
experimentMFC_4,s7_t2_r2,in,2,-0.3037224998697638
experimentMFC_4,s5_t2_r2,in,3,0.0671766998711973
experimentMFC_4,s9_t2_r2,in,4,0.1341081000864505
experimentMFC_4,s10_t2_r2,in,4,0.1696301000192761
