experiments,stimulus,repetition,response,goodness,rt,subj
1,s1_t1_r2,1,ac,2,3.5398121,E1_BaeYJ
1,s1_t1_r2,2,ac,3,3.1396459,E1_BaeYJ
1,s1_t1_r2,3,ac,3,2.7917098,E1_BaeYJ
1,s10_t1_r2,1,ac,2,3.1115653,E1_BaeYJ
1,s10_t1_r2,2,ac,2,2.6094732,E1_BaeYJ
1,s10_t1_r2,3,ac,2,1.0780973,E1_BaeYJ
1,s2_t1_r2,1,ac,4,3.3792027,E1_BaeYJ
1,s2_t1_r2,2,ac,3,3.1444858,E1_BaeYJ
1,s2_t1_r2,3,ac,4,3.3991226,E1_BaeYJ
1,s3_t1_r2,1,ac,3,9.1008896,E1_BaeYJ
1,s3_t1_r2,2,ac,1,2.3690966,E1_BaeYJ
1,s3_t1_r2,3,ac,1,3.3529112,E1_BaeYJ
1,s4_t1_r2,1,ac,3,3.2347389,E1_BaeYJ
1,s4_t1_r2,2,ac,3,1.380171,E1_BaeYJ
1,s4_t1_r2,3,ac,3,1.2306547,E1_BaeYJ
1,s5_t1_r2,1,ac,2,4.9817834,E1_BaeYJ
1,s5_t1_r2,2,ac,2,1.5423914,E1_BaeYJ
1,s5_t1_r2,3,ac,2,2.0610253,E1_BaeYJ
1,s6_t1_r2,1,ac,1,4.3289904,E1_BaeYJ
1,s6_t1_r2,2,ac,2,3.4694788,E1_BaeYJ
1,s6_t1_r2,3,ac,1,2.4689976,E1_BaeYJ
1,s7_t1_r2,1,ac,2,2.8356332,E1_BaeYJ
1,s7_t1_r2,2,ac,1,2.7193353,E1_BaeYJ
1,s7_t1_r2,3,ac,2,2.55997,E1_BaeYJ
1,s8_t1_r2,1,ac,2,3.3756833,E1_BaeYJ
1,s8_t1_r2,2,ac,3,2.4102896,E1_BaeYJ
1,s8_t1_r2,3,ac,2,2.4261096,E1_BaeYJ
1,s9_t1_r2,1,ac,2,3.1435732,E1_BaeYJ
1,s9_t1_r2,2,ac,2,2.9082839,E1_BaeYJ
1,s9_t1_r2,3,ac,2,3.3337493,E1_BaeYJ
1,s1_t1_r2,1,comp,6,3.7760468,E1_BaeYJ
1,s1_t1_r2,2,comp,6,3.4988733,E1_BaeYJ
1,s1_t1_r2,3,comp,5,3.2788079,E1_BaeYJ
1,s10_t1_r2,1,comp,3,3.6881874,E1_BaeYJ
1,s10_t1_r2,2,comp,3,3.1376397,E1_BaeYJ
1,s10_t1_r2,3,comp,3,3.0791954,E1_BaeYJ
1,s2_t1_r2,1,comp,5,3.6239401,E1_BaeYJ
1,s2_t1_r2,2,comp,6,3.9918482,E1_BaeYJ
1,s2_t1_r2,3,comp,6,3.3191817,E1_BaeYJ
1,s3_t1_r2,1,comp,4,0.312112,E1_BaeYJ
1,s3_t1_r2,2,comp,3,2.8000256,E1_BaeYJ
1,s3_t1_r2,3,comp,2,3.2445971,E1_BaeYJ
1,s4_t1_r2,1,comp,4,0.0713525,E1_BaeYJ
1,s4_t1_r2,2,comp,4,3.2879999,E1_BaeYJ
1,s4_t1_r2,3,comp,3,3.8791906,E1_BaeYJ
